,Code Pays,Pays,Importations de Champagne (€),Importations de vin ($),Part de Vin dans la consommation d'alcool (%),Importations totales en % du PIB,Nombre annuel de touristes,Population totale,Nombre d'expatriés français,PIB par habitant en PPA,Taux de pauvreté (%),Taux d'inscription dans le supérieur (%),Global Peace Index,Pourcentage De Musulmans (%),Distance avec la France (km),Taxes de Douane (%)
0,ALB,ALBANIE,693 673,"$12,416,000",26.5,44.10620273408095,5546750.0,2861573.6,204,13328.275339729322,"14,3(2012)",57.66201629638674,1.8876000000000002,.7,1603.534,15.0
1,DZA,ALGÉRIE,372 364,"$7,094,000",24.4,31.383152702086903,2379500.0,42214616.8,40 173,11720.187772572512,"5,5(2011)",49.35198211669922,2.2106000000000003,98,1340.39,30.0
2,AND,ANDORRE,1 358 610,"$12,812,000",42,,8185000.0,77142.2,2 434,,,,,.6,711.5485,
3,AGO,ANGOLA,1 503 468,"$34,377,000",17.6,25.62085511578685,273500.0,30832121.0,1 550,6981.909403976077,"36,6(2008)",9.33625984191895,2.0262000000000002,.3,6510.322,30.0
4,AZE,AZERBAÏDJAN,611 289,,36.9,39.26390832577154,2741500.0,9933804.0,221,14514.059944954633,"4,9(2015)",29.498193740844762,2.439,.9,3817.547,
5,ARG,ARGENTINE,3 393 086,,40.2,14.387357741264594,6930000.0,44489031.2,11 811,22192.130634133635,"25,7(2017)",91.05511856079102,2.0268,.9,11072.25,27.5
6,AUS,AUSTRALIE,113 531 876,"$600,363,000",37.5,21.101166915690534,8949000.0,24965648.2,24 825,50036.42246632303,"13,3(2016)",114.46699142456075,1.4016,.6,16975.46,5.0
7,AUT,AUTRICHE,32 915 653,"$225,051,000",31.6,50.50087090789075,30070250.0,8834376.0,9 908,55641.3431053038,"14,1(2015)",85.4189910888672,1.274,8,1035.144,
8,BHS,BAHAMAS,1 318 326,"$7,129,000",16.6,35.56248240752393,6568250.0,385608.2,,35634.58966583642,"9,3(2010)",,,.1,7209.45,0.0
9,BHR,BAHREÏN,412 381,,6.2,67.37540367063235,11159500.0,1566411.4,1 114,46189.89448693866,,52.02765808105469,2.3492,.7,4843.391,
10,ARM,ARMÉNIE,66 183,,7,47.778180595145486,1575250.0,2950727.8,559,12675.62043341039,"25,7(2017)",52.041267395019545,2.2644,.1,3434.071,12.5
11,BRB,BARBADE,1 119 906,"$7,753,000",10.5,41.06158431289053,1223500.0,286611.8,,15487.455406734303,,,,.5,6882.34,
12,BEL,BELGIQUE,148 359 690,"$1,129,861,000",38.3,80.75921089993285,8582000.0,11435722.2,121 558,51841.595604931834,"9,7(2016)",78.64792633056639,1.5071999999999999,.6,262.3845,
13,BMU,BERMUDES,1 153 010,"$13,031,000",,24.190194930954334,725250.0,64032.4,,81527.47038105372,,18.43040466308595,,.1,5764.324,
14,BIH,BOSNIE-HERZÉGOVINE,350 952,,8.6,54.197842670294655,988000.0,3328707.8,361,14664.54372646999,"16,9(2015)",44.03633041381836,2.0042,.7,1352.463,
15,BRA,BRÉSIL,10 566 914,"$421,768,000",3.4,13.588597929757588,6527500.0,209415025.8,16 916,14803.86809664647,"8,7(2015)",52.67471218109133,2.1914000000000002,.1,9408.406,20.0
16,VGB,ÎLES VIERGES BRITANNIQUES,309 462,,,,309349.998474121,29797.4,,,,27.4696102142334,,,6804.749,
17,BGR,BULGARIE,2 368 503,"$23,099,000",17.2,59.872316974504336,11780000.0,7027716.4,1 628,22765.727693555244,"22,0(2017)",71.7942752838135,1.6396000000000002,.4,1760.707,
18,MMR,MYANMAR,164 469,,9.8,31.310757638979084,3566250.0,53718250.8,,4578.585163084269,,18.8159408569336,,,8892.726,30.0
19,BLR,BÉLARUS,1 360 946,"$73,916,000",2.2,64.55089236485387,11332250.0,9433372.6,,19179.702713655905,,88.811669921875,,,1823.709,20.0
20,KHM,CAMBODGE,541 854,,0.6,63.63181764530132,5856500.0,16246202.2,5 021,4171.370561968758,"17,7(2012)",13.853666941324867,2.0766,2,9947.79,35.0
21,CMR,CAMEROUN,4 357 654,"$24,673,000",1.4,21.22848995876521,1024000.0,25226226.2,6 086,3752.09509533269,"37,5(2014)",13.1683499018351,2.396,30,5085.718,30.0
22,CAN,CANADA,56 490 843,"$1,974,379,000",25.6,33.25279935568324,31231750.0,37063716.4,99 289,48756.1995665392,"14,2(2015)",70.29338264465332,1.3409999999999997,.2,6004.645,0.0
23,CPV,CAP-VERT,44 901,,45,64.08811343693053,683500.0,543665.4,,6768.895302563964,"35,0(2015)",24.0065129597982,,2,4452.386,
24,CYM,ÎLES CAÏMANES,1 665 120,"$10,302,000",,45.196818051027705,2240500.0,64157.2,,71643.05148399848,,,,,7960.709,
